"FirstAuthor","YearOfPublication","StudyName","StudyDesign","StudyDesignGroup","Exposure","SpecificExposure","IfExposureIsCategoricalReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureCutoff","ExposureGroup","ToReverseReferenceGroup","CodeLargerComparisonGroup","LargerComparisonGroup","Outcome","SpecificOutcome","OutcomeSubgroup","OutcomeGroup","SpecficOutcomeGroup","AgeAtOutcomeGroup","AgeAtOutcome","DiseaseRisk","DiseaseRiskGroup","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotentialConflictOfInterest","RiskOfBiasDueToPotentialConflictOfInterestGroup","NumberExposedInCases","NoNonExposedInCases","NumberExposedInControls","NumberNonExposedInControls","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Cl(Lower)","95%Cl(Upper)","Pvalue","OtherInformationUnadjustedAnalysis","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","Adj95%Cl(Lower)","Adj95%Cl(Upper)","AdjPValue","OtherInformationAdjustedAnalysis","same as column z . AR CAN BE REMOVED","FinalEffect","UnadjInOr(RawNumbersOrUnadjOrRrHr)","Unadjse(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOrOriginal","AdjSe(InOr)","FinalInOrOriginal","FinalSe(InOr)","UnadjInOr","AdjInOr","FinalInOr"
"Rona","2005","Rona  Chile","retrspective cohort","retrospective","Total duration of breastfeeding","TBF","> 1"," <=1","1","1to2","1",">=1",">=1","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","ge15","27","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.64","0.43","0.94","0.023","","Low","OR","","","-0.45","0.2","-0.45","0.2","","0.45","0.45"
"Wilson","1998","Dundee infant feeding study","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","5to14","7","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.06","0.23","","","-0.06","0.23","-0.06","","-0.06"
"Nagel (Affluent countries)","2008","ISAAC Phase 2 - Affluent countries","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Wheeze","","atopic","wheeze","5to14","12","normal","low/normal","High","Other","Low","Low","","","","","OR","0.89","0.81","0.99","","","OR","0.87","0.78","0.97","","","Low","OR","-0.12","0.05","-0.14","0.06","-0.14","0.06","-0.12","-0.14","-0.14"
"Nagel (Non Affluent countries)","2008","ISAAC Phase 2- Nonaffluent countries","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Wheeze","","atopic","wheeze","5to14","12","normal","low/normal","High","Other","Low","Low","","","","","OR","0.81","0.7","0.95","","","OR","0.8","0.68","0.94","","","Low","OR","-0.21","0.08","-0.22","0.08","-0.22","0.08","-0.21","-0.22","-0.22"
"Miyake","2003","Miyake  Osaka City","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","0",">=3","0","0","2","medium",">=3","Asthma-Wheeze","WHEEZE","","atopic","wheeze","5to14","15","normal","low/normal","High","Other","Low","Low","","","","","OR","0.87","0.59","1.33","","","OR","0.86","0.58","1.31","","","Low","OR","-0.14","0.22","-0.15","0.21","-0.15","0.21","-0.14","-0.15","-0.15"
"Camara","2003","Camara  A. A.","CASE CONTROL","retrospective","Total duration of breastfeeding","TBF","<6","?6","6","5to7","2",">=6",">=6","Asthma-Wheeze","","","atopic","wheeze","5to14","12","normal","low/normal","High","Other","Low","Low","12","44","11","24","OR","","","","","","OR","","","","","","Low","OR","-0.52","0.49","","","-0.52","0.49","-0.52","","-0.52"
"Burr","1993","Burr","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Wheeze","","atopic","wheeze","5to14","6","high","high","Low","Low","Low","Low","","","","","","","","","<.001","","","","","","","","Low","OR","-0.68","0.21","","","-0.68","0.21","-0.68","","-0.68"
"Scholtens","2009","PIAMA","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">3.5","0","0","2","medium",">=4","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","5to14","8","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.66","0.42","1.04","","The longitudinal analyses accounting for repeated measure-ments (GEE) showed that breast feeding for .16 weeks compared with no breastfeeding  was associated with a lowerrisk of wheeze (Supplementary fig S3) and asthma (fig 1) in allyears  although not significantly at each year.","Low","OR","-0.34","0.22","-0.42","0.23","-0.42","0.23","-0.34","-0.42","-0.42"
"Elliott","2008","ALSPAC","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","5to14","7.5","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","0.95","0.8","1.14","","","OR","0.96","0.79","1.16","","","Low","OR","-0.05","0.09","-0.04","0.1","-0.04","0.1","-0.05","-0.04","-0.04"
"Lewis","1995","British Cohort Study (BCS70)","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","5to14","5","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.9","0.82","0.99","","","Low","OR","-0.16","0.05","-0.11","0.05","-0.11","0.05","-0.16","-0.11","-0.11"
"Awasthi","2004","ISAAC Phase 3? - Lucknow  India ","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Wheeze","","atopic","wheeze","5to14","7","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","0.59","0.38","0.92","","","OR","0.62","0.37","1.03","","","Low","OR","-0.53","0.23","-0.48","0.26","-0.48","0.26","-0.53","-0.48","-0.48"
"Wang","2006","Wang","cross-sectional","retrospective","Whether baby was breastfed ","TBF","breastfed  YES or NO","","0","0","2",">0",">0","Asthma-Wheeze","Recent wheezing","","atopic","wheeze","5to14","10Y","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.79","0.66","0.96","","","Low","OR","","","-0.24","0.1","-0.24","0.1","","-0.24","-0.24"
"Alper","2006","BURSA TURKEY","CROSS SECTIONAL","retrospective","TOTAL BF DURATION","TBF","< 3",">3","3","3to4","2",">=3",">=3","WHEEZE","Wheeze in first 3 years","","atopic","wheeze","5to14","7","normal","low/normal","Unclear","Other","Low","Low","17.976","150.024","57.96","632.04","","","","","","","OR","1.55","1.02","2.37","< 0.05","","Low","OR","0.27","0.28","0.44","0.22","0.44","0.22","0.27","0.44","0.44"
"Hide","1981","The Isle of Wight Prevention study","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Ever Asthma","","atopic","wheeze","0to4","1","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.51","0.25","","","-0.51","0.25","-0.51","","-0.51"
"Tanaka","2009","Fukuoka Child Health Study","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","<6","?6","6","5to7","2",">=6",">=6","Asthma-Wheeze","Wheeze","","atopic","wheeze","0to4","3","normal","low/normal","High","Other","Low","Low","","","","","OR","0.81","0.63","1.05","","","OR","0.83","0.63","1.09","","","Low","OR","-0.21","0.13","-0.19","0.14","-0.19","0.14","-0.21","-0.19","-0.19"
"Miyake","2008","Osaka Maternal and Child Health Study (OMCHS)","prospective cohort","prospective","Total duration of breastfeeding","TBF","< 6",">=6","6","5to7","2",">=6",">=6","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","0to4","2","normal","low/normal","High","Other","Low","Low","","","","","OR","1.13","0.76","1.7","","","OR","1.19","0.78","1.84","","","Low","OR","0.12","0.21","0.17","0.22","0.17","0.22","0.12","0.17","0.17"
"Hide","1981","The Isle of Wight Prevention study","prospective cohort","prospective","Total duration of breastfeeding","TBF","<6","6","6","5to7","2",">=6",">=6","Asthma-Wheeze","Ever Asthma","","atopic","wheeze","0to4","1","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.51","0.25","","","-0.51","0.25","-0.51","","-0.51"
"Wright","2002"," part of a metropolitan Boston prospective birth cohortstudy","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","0-1 ","high","high","Low","Low","Low","Low","","","","","RR","0.71","0.49","1.02","","","RR","","","","ns","","Low","RR","-0.34","0.18","","","-0.34","0.18","-0.34","","-0.34"
"Burr","1989","Burr","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","high","high","Low","Low","Low","Low","","","","","","","","","< 0.001","","OR","0.53","0.33","0.86","","","Low","OR","-0.98","0.21","-0.63","0.25","-0.63","0.25","-0.98","-0.63","-0.63"
"Schonberger","2005","Prevention of Asthma in Children Study (PREVASC)","prospective cohort","prospective","Total duration of breastfeeding","TBF","<.25",">=0.25","0","0","2",">0",">0","Asthma-Wheeze","Wheeze","","atopic","wheeze","0to4","2","high","high","Low","Low","Low","Low","","","","","","","","","","","OR","0.42","0.18","0.97","","","Low","OR","","","-0.87","0.43","-0.87","0.43","","-0.87","-0.87"
"Oddy","2003","Western Australia Pregnancy Cohort","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.61","1.13","2.29","","","OR","1.61","1.05","2.48","","","Low","OR","0.48","0.18","0.48","0.22","0.48","0.22","0.48","0.48","0.48"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","breastfed","TBF","NEVER","EVER","0","0","2",">0",">0","WHEEZE","wheeze","","atopic","wheeze","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","","","","","0.27","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","OR","0.92","0.61","1.4","","According to the findings from principal componentanalysis and the significance levels from the univariateanalyses  introduction of egg and vegetables as well as breastfeeding were incorporated in the multivariate models","Low","OR","-0.2","0.18","-0.08","0.21","-0.08","0.21","-0.2","-0.08","-0.08"
"Oddy","2003","Western Australia Pregnancy Cohort","prospective cohort","prospective","Total duration of breastfeeding","TBF","<2",">=2","2","1to2","2",">=2",">=2","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.72","1.33","2.29","","","OR","1.6","1.14","2.24","","","Low","OR","0.54","0.15","0.47","0.17","0.47","0.17","0.54","0.47","0.47"
"Oddy","2003","Western Australia Pregnancy Cohort","prospective cohort","prospective","Total duration of breastfeeding","TBF","<4",">=4","4","3to4","2",">=4",">=4","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.81","1.41","2.33","","","OR","1.56","1.14","2.12","","","Low","OR","0.59","0.13","0.44","0.16","0.44","0.16","0.59","0.44","0.44"
"Kull","2002","BAMSE","prospective cohort","prospective","Total duration of breastfeeding","TBF","< 6",">= 6","6","5to7","2",">=6",">=6","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.81","0.67","0.97","","","Low","OR","-0.27","0.09","-0.21","0.09","-0.21","0.09","-0.27","-0.21","-0.21"
"Galbally","2013","Longitudinal Study of Australian Children","prospective cohort","prospective","Total duration of breastfeeding","TBF","<6","6","6","5to7","2",">=6","6","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.65","0.45","0.92","","","Low","OR","-0.84","0.15","-0.43","0.18","-0.43","0.18","-0.84","-0.43","-0.43"
"Oddy","2003","Western Australia Pregnancy Cohort","prospective cohort","prospective","Total duration of breastfeeding","TBF","<6",">=6","6","5to7","2",">=6",">=6","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.9","1.46","2.48","","","OR","1.6","1.17","2.17","","","Low","OR","0.64","0.14","0.47","0.16","0.47","0.16","0.64","0.47","0.47"
"Oddy","2003","Western Australia Pregnancy Cohort","prospective cohort","prospective","Total duration of breastfeeding","TBF","<8",">=8","8","8to12","2",">=8",">=8","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.92","1.46","2.52","","","OR","1.76","1.27","2.44","","","Low","OR","0.65","0.14","0.57","0.17","0.57","0.17","0.65","0.57","0.57"
"Elliott","2008","ALSPAC","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","0to4","3","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","0.72","0.66","0.8","","","OR","0.88","0.79","0.97","","","Low","OR","-0.33","0.05","-0.13","0.05","-0.13","0.05","-0.33","-0.13","-0.13"
"Morales","2012","INMA PROJECT","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">6","0","0","2","long",">=6","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","1.01","0.53","1.92","","","OR","1.15","0.58","2.28","","","Low","OR","0.01","0.33","0.14","0.35","0.14","0.35","0.01","0.14","0.14"
"Rust","2001","National Health and Nutrition Examination Survey ((NHANES III)","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Wheeze","","atopic","wheeze","0to4","<6","normal","low/normal","Unclear","Other","Low","Low","806","843","2510","2620","","","","","","","","","","","","","Low","OR","0","0.06","","","0","0.06","0","","0"
"Kurt","2008","Prevalence and Risk Factors of Allergies in Turkey (PARFAIT)","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Wheeze","","atopic","wheeze","ge15","15","normal","low/normal","Low","Low","Low","Low","","","","","OR","","","","","","OR","0.93","0.87","0.99","<0.05","","Low","OR","","","-0.07","0.03","-0.07","0.03","","-0.07","-0.07"
"Kurt","2008","Prevalence and Risk Factors of Allergies in Turkey (PARFAIT)","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","<6","?6","6","5to7","2",">=6",">=6","Asthma-Wheeze","Wheeze","","atopic","wheeze","ge15","15","normal","low/normal","Low","Low","Low","Low","","","","","OR","0.82","0.73","0.92","","","OR","","","","","","Low","OR","-0.2","0.06","","","-0.2","0.06","-0.2","","-0.2"
"Mui?o","2008","Muino  Perlotas Brazil","prospective cohort","prospective","Total duration of breastfeeding","TBF","<1",">9","1","1to2","2","",">=1","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","5to14","12","normal","low/normal","High","Other","Low","Low","","","","","fisher's exact tests","","","","","0.006 p vlue for all categories","","","","","","","Low","OR","-0.22","0.16","","","-0.22","0.16","-0.22","","-0.22"
"Wahlberg","2006","ABIS (All Babies in Southeast Sweden)","prospectvie cohort","prospective","Total BF duration","TBF","0-1","2+","1","1to2","2",">=1",">=1","DM","GADA and/or IA2A at 1 and 2 yo","TIDM-Ab","autoim","TIDM","auto","2","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","variables did not remained in the step-wise logistic regression","Low","OR","-1.35","0.49","","","-1.35","0.49","-1.35","","-1.35"
"Wahlberg","2006","ABIS (All Babies in Southeast Sweden)","prospectvie cohort","prospective","Total BF duration","TBF","0-5","5+","5","5to7","2",">=5",">=5","DM","GADA and/or IA2A at 1 and 2 yo","TIDM-Ab","autoim","TIDM","auto","2","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","variables did not remained in the step-wise logistic regression","Low","OR","-0.16","0.46","","","-0.16","0.46","-0.16","","-0.16"
"Viner","2008","Birtish Cohort Study","prospectvie cohort","prospective","Total BF duration","TBF","0","3+","0","0","2","medium",">=3","DM","IDDM  self reported","TIDM","autoim","TIDM","auto",">10","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","HR","1.3","0.4","4.9","0.7","","Low","HR","","","0.26","0.68","0.26","0.68","","0.26","0.26"
"Couper","2009","Australian BABYDIAB","prospective cohort","prospective","Total BF duration","TBF","0","3+","0","0","2","medium",">=3","DM","Islet autoimmunity defined as persistent elevation of one or more islet autoantibodies on consecutive 6 month tests.","TIDM-Ab","autoim","TIDM","auto","1.7","high","high","High","Other","Low","Low","","","","","HR","1.075268817","0.37037037","3.125","0.49","OVERL ALL P VALUE INCLUDING UNKNOW/MISSING EXPOSURES WHO WERE ANALYZED","","","","","","it says adjusted analyses was done - no results shown","Low","HR","0.07","0.54","","","0.07","0.54","0.07","","0.07"
"Couper","2009","Australian BABYDIAB","prospective cohort","prospective","Total BF duration","TBF","0-3","3+","3","3to4","2",">=3",">=3","DM","Islet autoimmunity defined as persistent elevation of one or more islet autoantibodies on consecutive 6 month tests.","TIDM-Ab","autoim","TIDM","auto","1.7","high","high","High","Other","Low","Low","","","","","HR","1.219512195","0.523560209","2.857142857","","OVERL ALL P VALUE INCLUDING UNKNOW/MISSING EXPOSURES WHO WERE ANALYZED","","","","","","it says adjusted analyses was done - no results shown","Low","HR","0.2","0.43","","","0.2","0.43","0.2","","0.2"
"Fronczak","2003","DAISY (Diabetes Autoimmunity Study in the Young)","prospective cohort","prospective","Total BF duration","TBF","0-3","3+","3","3to4","2",">=3",">=3","DM","Islet autoimmunity","TIDM-Ab","autoim","TIDM","auto","4","high","high","High","Other","Low","Low","","","","","HR","0.769230769","0.280898876","2.127659574","0.619","","","","","","","We used parametric survival analysis(PROC LIFEREG) and specified theWeibull distribution to estimate all uni-variate and adjusted hazard ratios (HRs)and calculated corresponding approxi-mate 95% CI (33 34).Variables were retained in the final model if their exclusion would have resulted in a>10%change in the magnitude of theHRfor the dietary variable of interest.","Low","HR","-0.26","0.52","","","-0.26","0.52","-0.26","","-0.26"
"Ziegler","2003","German BABYDIAB","prospective cohort","prospective","Total BF duration","TBF","0","3.1-6","0","0","2","medium","3TO6","DM","IAA  GADA or IA2 >99th percentile","TIDM-Ab","autoim","TIDM","auto","5","high","high","Low","Low","Low","Low","","","","","Hazard ratio","2","0.909090909","5","","","Hazard ratio","1.666666667","0.833333333","3.333333333","0.13","overall p=.36","Low","HR","0.69","0.47","0.51","0.35","0.51","0.35","0.69","0.51","0.51"
"Ziegler","2003","German BABYDIAB","prospective cohort","prospective","Total BF duration","TBF","0.1-3","3.1-6","3","3to4","2","medium","3TO6","DM","IAA  GADA or IA2 >99th percentile","TIDM-Ab","autoim","TIDM","auto","5","high","high","Low","Low","Low","Low","","","","","Hazard ratio","1.428571429","0.714285714","2.5","","","Hazard ratio","1.25","0.666666667","2.5","0.44","","Low","HR","0.36","0.29","0.22","0.35","0.22","0.35","0.36","0.22","0.22"
"Holmberg","2007","ABIS (All Babies in Southeast Sweden)","prospective cohort","prospective","Total BF duration","TBF","0-3","4+","3","3to4","2",">=3",">=3","DM","GADA  IAA95th","TIDM-Ab","autoim","TIDM","auto","5.5","normal","low/normal","High","Other","Low","Low","","","","","OR","0.48","0.33","0.69","<0.01","","OR","","-","-","-","regression not done","Low","OR","-0.73","0.19","","","-0.73","0.19","-0.73","","-0.73"
"Virtanen","2011","DIPP (Type 1 Diabetes Prediction and Prevention Project)","prospective cohort","prospective","Total BF duration","TBF","0-5","9+","5","5to7","2","long",">=9","DM","Advanced beta cell autoimmunity defeined as being positive for ICA plus at elast one antibody endpoint (IAA  GADA  IA2A) OR clinical T1DM.","TIDM-Ab","autoim","TIDM","auto"," 6-18","high","high","Low","Low","Low","Low","","","","","","","","","","","HR","0.714285714","0.515463918","0.99009901","0.123","","Low","HR","-0.13","0.16","-0.34","0.17","-0.34","0.17","-0.13","-0.34","-0.34"
"Savilahti","2009","Savilhati  E.","nested case-control","nested CC","","TBF","<6","?6","6","5to7","2",">=6",">=6","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","11.5","normal","low/normal","High","Other","Low","Low","","","","","OR","1.05","0.77","1.43","","","","","","","","","Low","OR","0.05","0.16","","","0.05","0.16","0.05","","0.05"
"Kyvik","1992","Kyvik  K. O.","nested case-control","nested CC","Total BF duration","TBF","0","5+","0","0","2","medium",">=5","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","<20","normal","low/normal","High","Other","Low","Low","","3","","9","OR","1.515151515","0.396825397","5.882352941","","","","","","","","","Low","OR","0.42","0.69","","","0.42","0.69","0.42","","0.42"
"Kyvik","1992","Kyvik  K. O.","nested case-control","nested CC","Total BF duration","TBF","0-1","5+","1","1to2","2","medium",">=5","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","<20","normal","low/normal","High","Other","Low","Low","","11","","21","OR","1.075268817","0.529100529","2.173913043","","","","","","","","","Low","OR","0.07","0.36","","","0.07","0.36","0.07","","0.07"
"Norris","1996","DAISY (Diabetes Autoimmunity Study in the Young)","nested case-control","nested CC","","TBF","Not breast fed ","Breast fed","0","0","2",">0",">0","DM","1+ of IAA  GADA  or IA2A ","TIDM-Ab","autoim","TIDM","auto","<7","High","high","Low","Low","Low","Low","16","2","132","21","","","","","","","OR","1.27","0.27","5.95","","","Low","OR","0.24","0.79","0.24","0.79","0.24","0.79","0.24","0.24","0.24"
"Jones","1998","Oxford Record Linkage Study","nested case-control","nested CC","BF at discharge","TBF","Not breast fed","Breast fed","0","0","2",">0",">0","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","5TO9","normal","low/normal","High","Other","Low","Low","","","","","OR","0.03030303","0.427350427","1.315789474","","","","","","","","wrong confounding risk of bias- high risk is correct (they used conditional matched  logistic regression but not conditional multiple log.regr)","Low","OR","-0.28","0.3","","","-0.28","0.3","-0.28","","-0.28"
"Glathaar","1988","Glatthaar  C.","cross-sectional","retrospective","Total BF duration","TBF","0-0.25","0.25+","0","0","2",">0",">0","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","<18","normal","low/normal","Unclear","Other","Low","Low","183","10","728","25","","","","","","","OR","0.714285714","0.512820513","1","0.05","","Low","OR","-0.46","0.38","-0.34","0.17","-0.34","0.17","-0.46","-0.34","-0.34"
"Alves","2012","Alves  J. G. B.","case control","retrospective","BF present/absent","TBF","Not breast fed","Breast fed","0","0","2",">0",">0","DM","T1DM diagnosis using WHO criteria","TIDM","autoim","TIDM","auto","6.7","normal","low/normal","High","Other","Low","Low","116","7","122","1","OR","0.135831382","","","0.07","0.07","","","","","","To ascertain the possible confounding effects of birth weightand age at exposure to cow?s milk  cereals  and solid foods onthe duration of breastfeeding  regression models were fittedusing the Generalized Estimation Equations method  with anunstructured correlation matrix and SE robust option. Thismethod estimates model coefficients and SEs  adjusting forthe correlation within each case?control pair. The possibleconfounding factors were entered in the regression modelusing forward and backward method of selection and elimi-nation. Stata version 10.1 software (StataCorp. LLP  CollegeStation  TX) was used for all the statistical analysis.","Low","OR","-2","1.08","","","-2","1.08","-2","","-2"
"Ahabi","2011","Ahadi  M. ","case control","retrospective","Total BF duration","TBF","0-12","12+","12","8to12","2",">=12",">=12","DM","T1DM diagnosis using WHO criteria","TIDM","autoim","TIDM","auto","6.7","normal","low/normal","Unclear","Other","Low","Low","72","29","87","14","OR","0.399524376","","","0.009","","","","","","NS-While univariableanalysis revealed total durations of breast feeding ofmore than 12 months to have a protective effect againstthe development of T1DM  such associations were not present on the multivariable analysis","Univariable and multivariable conditional logisticregression methods were also performed. Variableswhich were related to diabetes at significance level ofp value < 0.1 in univariable analysis were entered intothe multivariable analysis. The level p < 0.05 was con-sidered as the cut-off value for significance.","Low","OR","-0.92","0.36","","","-0.92","0.36","-0.92","","-0.92"
"Blom","1989","Swedish Childhood Diabetes Study","case control","retrospective","Total BF duration","TBF","Not breast fed","Breast fed","0","0","2",">0",">0","DM","Medical diagnosis of T1DM","TIDM","autoim","TIDM","auto","7","normal","low/normal","High","Other","Low","Low","308.49","30.51","459.36","68.64","","","","","","","","","","","","As the incidence of Type 1 diabetes in age-dependent  theodds ratios given are age-adjusted according to the direct method.","Low","OR","0.41","0.23","","","0.41","0.23","0.41","","0.41"
"Blom","1989","Swedish Childhood Diabetes Study","case control","retrospective","Exclusive BF duration","TBF","0-3","3+","3","3to4","2",">=3",">=3","DM","Medical diagnosis of T1DM","TIDM","autoim","TIDM","auto","7","normal","low/normal","High","Other","Low","Low","","","","","OR","0.588235294","0.346020761","0.980392157","","","","","","","","As the incidence of Type 1 diabetes in age-dependent  theodds ratios given are age-adjusted according to the direct method.","Low","OR","-0.53","0.26","","","-0.53","0.26","-0.53","","-0.53"
"Sadauskaite-Kuehne (Sweden)","2004","DEBS (Diaberes and Environment at the Baltic Sea)","case control","retrospective","BF present/absent","TBF","0-7","7+","7","5to7","2",">=7",">=7","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","7","normal","low/normal","High","Other","Low","Low","166","","420","","OR","0.68","0.48","0.96","","","OR","0.56","0.38","0.84","","","Low","OR","","","-0.58","0.21","-0.58","0.21","","-0.58","-0.58"
"Sadauskaite-Kuehne (Sweden)","2004","DEBS (Diaberes and Environment at the Baltic Sea)","case control","retrospective","Exclusive BF duration","TBF","0-9","9+","9","8to12","2",">=9",">=9","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","7","normal","low/normal","High","Other","Low","Low","92","","174","","OR","0.65","0.44","0.96","","","OR","0.61","0.41","0.92","","","Low","OR","","","-0.49","0.21","-0.49","0.21","","-0.49","-0.49"
"Hathout","2006","Hathout  E. H.","case control","retrospective","Total BF duration","TBF","Not breast fed","Breast fed","0","0","2",">0",">0","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","7.4","normal","low/normal","Unclear","Other","Low","Low","60.18","41.82","234","66","","","","","0.001","","","","","","","primary exposure ozone: model adjusted for BF but coefficient for Bf is not shown","Low","OR","-0.9","0.24","","","-0.9","0.24","-0.9","","-0.9"
"Tai","1998","Tai  T. Y.","case control","retrospective","BF present/absent","TBF","Not breast fed","Breast fed","0","0","2",">0",">0","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","8.3","normal","low/normal","High","Other","Low","Low","46","70","82","109","OR","0.699300699","0.4048583","1.204819277","","","","","","","","BF ever not tested becaused not significant in univariate analysis. Multiple logistic regression analysis wasthen carried out by including risk factors whichwere statistically significant in univariate analysesas well as those reported in other studies in themodel.","Low","OR","-0.36","0.28","","","-0.36","0.28","-0.36","","-0.36"
"Verge","1994","Verge  C. F.","case control","retrospective","AGE AT SOLID FOOD INTRO","TBF","0-2","7+","2","1to2","2","long",">=7","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","9","normal","low/normal","High","Other","Low","Low","62","85","86","69","OR","0.59","0.37","0.92","","","OR","0.68","0.42","1.09","","","Low","OR","-0.53","0.23","-0.39","0.24","-0.39","0.24","-0.53","-0.39","-0.39"
"Skrodeniene","2010","DEBS (Diaberes and Environment at the Baltic Sea)","case control","retrospective","BF present/absent","TBF","0-3","3+","3","3to4","2",">=3",">=3","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","9","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.289017341","0.095238095","0.877192982","0.028","","Low","OR","","","-1.24","0.57","-1.24","0.57","","-1.24","-1.24"
