"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","fruit syrup","FRUIT JUICE-SYRUP","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","1=yes","atopic","WHZ","","9","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","1.08","0.74","1.58","","","RR","0.97","0.66","1.43","","RR","0.076961041","0.194114187","-0.030459207","0.198027373","-0.030459207","0.198027373","1.08","0.738227848","1.58","0.97","0.657972028","1.43","0.97","0.657972028","1.43","RR","-0.076961041","0.194114187","0.030459207","0.198027373","0.030459207","0.198027373","0.925925926","0.632911392","1.354595336","1.030927835","0.699300699","1.519821448","1.030927835","0.699300699","1.519821448"
"Strassburger","2010","Strassburger  Sao Leopoldo Brazil","prospective cohort","prospective","TIME OF INTRODUCTION OF SALTY PUREED FOOD","salty pureed food","SALTY PUREED FOOD","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro",">=4","<4","0to4","categ(months)","1=yes","atopic","WHZ","","3.5","0to4","low-normal","Low","Low","Low","Low","","","","","","32","10","299","62","OR","1.73","0.78","3.86","0.171","","OR","1.68","0.72","3.93","0.229","OR","0.548121409","0.40946213","0.518793793","0.43359471","0.518793793","0.43359471","1.73","0.775362694","3.86","1.68","0.718167939","3.93","1.68","0.718167939","3.93","OR","-0.548121409","0.40946213","-0.518793793","0.43359471","-0.518793793","0.43359471","0.578034682","0.259067358","1.289719002","0.595238095","0.254452926","1.392431973","0.595238095","0.254452926","1.392431973"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","vegetables","vegetables","VEGETABLES","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro","<=4",">4","0to4","categ(months)","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","174","44.718","449","145.027","","","","","0.11","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","OR","0.77","0.5","1.2","","OR","-0.32160101","0.200704814","-0.261364764","0.226370572","-0.261364764","0.226370572","0.724987395","0.4892007","1.074419402","0.77","0.494083333","1.2","0.77","0.494083333","1.2","OR","-0.32160101","0.200704814","-0.261364764","0.226370572","-0.261364764","0.226370572","0.724987395","0.4892007","1.074419402","0.77","0.494083333","1.2","0.77","0.494083333","1.2"
"Binkley","2011","EISL","CROSS SECTIONAL","retrospective","Specific food intake - child","industrial food","","INFANT INDUSTRIAL-PROCESSED FOOD INTAKE","infant-1st year-intake","no ""industrial food"" intake","yes industrial food intake at least once per month","oftenVSnever-rare","yes-no","2=no","atopic","WHZ","","1.4","0to4","low-normal","High","Unclear-high","Low","Low","594","497 (to any extend)","97","647 (to any extend)","168","","","","","","","","","0.09","p for a trend: never  1/mth  1/wk  1/d","","","","","","OR","0.285496732","0.140781131","","","0.285496732","0.140781131","1.330422728","1.009611614","1.753173806","","","","1.330422728","1.009611614","1.753173806","OR","0.285496732","0.140781131","","","0.285496732","0.140781131","1.330422728","1.009611614","1.753173806","","","","1.330422728","1.009611614","1.753173806"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","meat","meat","","INFANT MEAT INTRODUCTION","infant-1st year-intro","<=5",">5","5to7","categ(months)","2=no","atopic","WHZ","","2","0to4","low-normal","High","Unclear-high","Low","Low","","","","","","256","78.08","365","109.5","","","","","0.9","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","","","","","","OR","0.023697791","0.177409681","","","0.023697791","0.177409681","1.023980815","0.723232028","1.44979297","","","","1.023980815","0.723232028","1.44979297","OR","0.023697791","0.177409681","","","0.023697791","0.177409681","1.023980815","0.723232028","1.44979297","","","","1.023980815","0.723232028","1.44979297"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","Non-milk fluids","ANY NON-MILK FLUID","INFANT NON-MILK FLUID INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","2=no","atopic","WHZ","","9","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","0.24","0.04","1.57","","","RR","0.22","0.03","1.48","","RR","-1.427116356","0.958261212","-1.514127733","0.972535623","-1.514127733","0.972535623","0.24","0.036687898","1.57","0.22","0.032702703","1.48","0.22","0.032702703","1.48","RR","-1.427116356","0.958261212","-1.514127733","0.972535623","-1.514127733","0.972535623","0.24","0.036687898","1.57","0.22","0.032702703","1.48","0.22","0.032702703","1.48"
"Erkkola","2012","DIPP ","prospective cohort","prospective","cereals","cereal","OTHER- UNCLEAR","MATERNAL CEREAL INTAKE","mother-pregnancy-intake","155.0-246.2","246.2-772.9","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","0.86","0.67","1.1","","","OR","0.87","0.66","1.13","","OR","-0.15082289","0.125578097","-0.139262067","0.13340801","-0.139262067","0.13340801","0.86","0.672363636","1.1","0.87","0.669823009","1.13","0.87","0.669823009","1.13","OR","-0.15082289","0.125578097","-0.139262067","0.13340801","-0.139262067","0.13340801","0.86","0.672363636","1.1","0.87","0.669823009","1.13","0.87","0.669823009","1.13"
"Erkkola","2012","DIPP ","prospective cohort","prospective","chocolate","chocolate","CONFECTIONERY","MATERNAL CONFECTIONERY- SWEET DRINK INTAKE","mother-pregnancy-intake","7.14-26.7","26.7-250.4","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","1.11","0.87","1.42","","","OR","1.12","0.88","1.43","","OR","0.104360015","0.125661661","0.113328685","0.124666204","0.113328685","0.124666204","1.11","0.867676056","1.42","1.12","0.877202797","1.43","1.12","0.877202797","1.43","OR","0.104360015","0.125661661","0.113328685","0.124666204","0.113328685","0.124666204","1.11","0.867676056","1.42","1.12","0.877202797","1.43","1.12","0.877202797","1.43"
"Miyake","2010","OMCHS","prospective cohort","prospective","any dairy product","dairy","ALL DAIRY","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.42","0.25","0.71","","","OR","0.45","0.25","0.79","","OR","-0.867500568","0.267862377","-0.798507696","0.287135389","-0.798507696","0.287135389","0.42","0.248450704","0.71","0.45","0.256329114","0.79","0.45","0.256329114","0.79","OR","-0.867500568","0.267862377","-0.798507696","0.287135389","-0.798507696","0.287135389","0.42","0.248450704","0.71","0.45","0.256329114","0.79","0.45","0.256329114","0.79"
"Erkkola","2012","DIPP ","prospective cohort","prospective","milks","milk","MILK","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","214.0-766.4","766.4-2756.3","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","1","0.8","1.26","","","OR","0.98","0.77","1.25","","OR","0","0.117914143","-0.020202707","0.124156254","-0.020202707","0.124156254","1","0.793650794","1.26","0.98","0.76832","1.25","0.98","0.76832","1.25","OR","0","0.117914143","-0.020202707","0.124156254","-0.020202707","0.124156254","1","0.793650794","1.26","0.98","0.76832","1.25","0.98","0.76832","1.25"
"Willers","2008","PIAMA","prospectvie cohort","prospective","Cow's milk consumption during pregnancy","milk","MILK","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","Less than once a day","Daily consumption during pregnancy","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ","","8","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","0.84","0.68","1.03","","","OR","0.88","0.71","1.09","","OR","-0.174353387","0.104036831","-0.127833372","0.10918932","-0.127833372","0.10918932","0.84","0.685048544","1.03","0.88","0.710458716","1.09","0.88","0.710458716","1.09","OR","-0.174353387","0.104036831","-0.127833372","0.10918932","-0.127833372","0.10918932","0.84","0.685048544","1.03","0.88","0.710458716","1.09","0.88","0.710458716","1.09"
"Willers","2008","PIAMA","prospectvie cohort","prospective","Egg consumption during pregnancy","egg","EGG","MATERNAL EGG INTAKE","mother-pregnancy-intake","Rarely if ever consumed during pregnancy","Daily or regular intake during pregnancy","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ","","8","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","0.97","0.84","1.12","","","OR","0.96","0.84","1.12","","OR","-0.030459207","0.07336117","-0.040821995","0.078648306","-0.040821995","0.078648306","0.97","0.840089286","1.12","0.96","0.822857143","1.12","0.96","0.822857143","1.12","OR","-0.030459207","0.07336117","-0.040821995","0.078648306","-0.040821995","0.078648306","0.97","0.840089286","1.12","0.96","0.822857143","1.12","0.96","0.822857143","1.12"
"Miyake","2009","OMCHS","prospective cohort","prospective","Saturated fatty acids preganancy","fat saturated ","ANIMAL- DAIRY- SATURATED","MATERNAL FAT INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.57","0.35","0.92","","","OR","0.65","0.39","1.1","","OR","-0.562118918","0.244253729","-0.430782916","0.268414845","-0.430782916","0.268414845","0.57","0.353152174","0.92","0.65","0.384090909","1.1","0.65","0.384090909","1.1","OR","-0.562118918","0.244253729","-0.430782916","0.268414845","-0.430782916","0.268414845","0.57","0.353152174","0.92","0.65","0.384090909","1.1","0.65","0.384090909","1.1"
"Nwaru","2012","DIPP","prospective cohort","prospective","Specific food intake - maternal [pregnancy]","margarine","MARGARINE","MATERNAL FAT INTAKE","mother-pregnancy-intake","No Margarine consumed","Margarine Consumer","oftenVSnever-rare","yes-no","2=no","atopic","WHZ","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","HR","1.03","0.85","1.26","","","HR","1.04","0.84","1.29","","HR","0.029558802","0.102833122","0.039220713","0.109908931","0.039220713","0.109908931","1.03","0.841984127","1.26","1.04","0.838449612","1.29","1.04","0.838449612","1.29","HR","0.029558802","0.102833122","0.039220713","0.109908931","0.039220713","0.109908931","1.03","0.841984127","1.26","1.04","0.838449612","1.29","1.04","0.838449612","1.29"
"Castro-Rodriguez","2010","EISL","CROSS SECTIONAL","retrospective","DIETARY FAT-FATTY ACIDS","olive oil","OMEGA 6- MUFA","MATERNAL FAT INTAKE","mother-pregnancy-intake","mothers did not use olive oil for cooking/salads/vegetables in pregnancy","mothers used olive oil for cooking/salads/vegetables in pregnancy","HighestVSLowest","yes-no","2=no","atopic","WHZ","","1.4","0to4","low-normal","High","Unclear-high","Low","Low","594","468","126","694","121","","","","","OR","0.65","0.5","0.9","0.002","","OR","0.57","0.4","0.8","0.002","OR","-0.430782916","0.166031837","-0.562118918","0.172946616","-0.562118918","0.172946616","0.65","0.469444444","0.9","0.57","0.406125","0.8","0.57","0.406125","0.8","OR","-0.430782916","0.166031837","-0.562118918","0.172946616","-0.562118918","0.172946616","0.65","0.469444444","0.9","0.57","0.406125","0.8","0.57","0.406125","0.8"
"Leermakers","2013","GENERATION R","prospectvie cohort","prospective","Fish intake in pregnancy","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","No fish intake in first trimester of pregnancy","Total fish >210g/week","oftenVSnever-rare","tertile-quartile-quintile","2=no","atopic","WHZ","","4","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","0.83","0.62","1.12","","OR","","","-0.186329578","0.152886869","-0.186329578","0.152886869","","","","0.83","0.615089286","1.12","0.83","0.615089286","1.12","OR","","","-0.186329578","0.152886869","-0.186329578","0.152886869","","","","0.83","0.615089286","1.12","0.83","0.615089286","1.12"
"Jedrychowski","2008","Krakow birth cohort","prospectvie cohort","prospective","MATERNAL CONSUMPTION PREGNANCY/FISH","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","<150g/week",">150g/week","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","?","","","","","","","","","Incidence risk ratio","0.966","0.948","0.985","","RR","-0.034591445","0.009937657","","","-0.034591445","0.009937657","0.966","0.947366497","0.985","","","","0.966","0.947366497","0.985","RR","-0.034591445","0.009937657","","","-0.034591445","0.009937657","0.966","0.947366497","0.985","","","","0.966","0.947366497","0.985"
"Miyake","2009","OMCHS","prospective cohort","prospective","Fish","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.76","0.47","1.23","","","OR","0.67","0.3","1.48","","OR","-0.274436846","0.245638273","-0.400477567","0.404346762","-0.400477567","0.404346762","0.76","0.469593496","1.23","0.67","0.303310811","1.48","0.67","0.303310811","1.48","OR","-0.274436846","0.245638273","-0.400477567","0.404346762","-0.400477567","0.404346762","0.76","0.469593496","1.23","0.67","0.303310811","1.48","0.67","0.303310811","1.48"
"Willers","2008","PIAMA","prospectvie cohort","prospective","Fish consumption during pregnancy","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Rarely if ever consumed during pregnancy","Daily or regular intake during pregnancy","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ","","8","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","1.15","0.99","1.35","","","OR","1.1","0.94","1.29","","OR","0.139761942","0.081807475","0.09531018","0.081291856","0.09531018","0.081291856","1.15","0.97962963","1.35","1.1","0.937984496","1.29","1.1","0.937984496","1.29","OR","0.139761942","0.081807475","0.09531018","0.081291856","0.09531018","0.081291856","1.15","0.97962963","1.35","1.1","0.937984496","1.29","1.1","0.937984496","1.29"
"Nwaru","2012","DIPP","prospective cohort","prospective","Specific food intake - maternal [pregnancy]","fat - n3 from fish","OMEGA 3- PUFA","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Second/third quartile of intake","Highest quartile","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","HR","0.95","0.75","1.2","","","HR","0.95","	0.74","	1.22","","HR","-0.051293294","0.119191251","-0.051293294","0.127624568","-0.051293294","0.127624568","0.95","0.752083333","1.2","0.95","0.739754098","1.22","0.95","0.739754098","1.22","HR","-0.051293294","0.119191251","-0.051293294","0.127624568","-0.051293294","0.127624568","0.95","0.752083333","1.2","0.95","0.739754098","1.22","0.95","0.739754098","1.22"
"Erkkola","2012","DIPP ","prospective cohort","prospective","vegetable fruits","fruits and vegetables","ANY","MATERNAL FRUIT AND VEGETABLE INTAKE","mother-pregnancy-intake","49.5-138.7","138.7-749","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","1.17","0.94","1.46","","joint p value = 0.308","OR","1.09","0.86","1.38","","OR","0.157003749","0.112975861","0.086177696","0.120360104","0.086177696","0.120360104","1.17","0.93760274","1.46","1.09","0.860942029","1.38","1.09","0.860942029","1.38","OR","0.157003749","0.112975861","0.086177696","0.120360104","0.086177696","0.120360104","1.17","0.93760274","1.46","1.09","0.860942029","1.38","1.09","0.860942029","1.38"
"Erkkola","2012","DIPP ","prospective cohort","prospective","fruits","fruits","ANY FRUIT","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","326.2-793.9",">793.9-3908","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","1.11","0.88","1.4","","joint p value = 0.268","OR","1.07","0.83","1.37","","OR","0.104360015","0.118424603","0.067658648","0.126098006","0.067658648","0.126098006","1.11","0.880071429","1.4","1.07","0.835693431","1.37","1.07","0.835693431","1.37","OR","0.104360015","0.118424603","0.067658648","0.126098006","0.067658648","0.126098006","1.11","0.880071429","1.4","1.07","0.835693431","1.37","1.07","0.835693431","1.37"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of total fruit","fruits","ANY FRUIT","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.2","0.73","1.96","","","OR","1.51","0.9","2.57","","OR","0.182321557","0.250317815","0.412109651","0.271324616","0.412109651","0.271324616","1.2","0.734693878","1.96","1.51","0.887198444","2.57","1.51","0.887198444","2.57","OR","0.182321557","0.250317815","0.412109651","0.271324616","0.412109651","0.271324616","1.2","0.734693878","1.96","1.51","0.887198444","2.57","1.51","0.887198444","2.57"
"Willers","2008","PIAMA","prospectvie cohort","prospective","Fruit consumption during pregnancy","fruits","ANY FRUIT","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","Less than once a day","Daily consumption during pregnancy","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ","","8","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","0.82","0.7","0.96","","","OR","0.89","0.75","1.04","","OR","-0.198450939","0.080422931","-0.116533816","0.079466597","-0.116533816","0.079466597","0.82","0.700416667","0.96","0.89","0.761634615","1.04","0.89","0.761634615","1.04","OR","-0.198450939","0.080422931","-0.116533816","0.079466597","-0.116533816","0.079466597","0.82","0.700416667","0.96","0.89","0.761634615","1.04","0.89","0.761634615","1.04"
"Willers","2007","ABERDEEN COHORT","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - MATERNAL","apples","APPLE","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","0-1/week","?4/week","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.59","0.4","0.88","0.009","","OR","0.63","0.42","0.95","0.029","OR","-0.527632742","0.203979271","-0.46203546","0.209562329","-0.46203546","0.209562329","0.59","0.395568182","0.88","0.63","0.417789474","0.95","0.63","0.417789474","0.95","OR","-0.527632742","0.203979271","-0.46203546","0.209562329","-0.46203546","0.209562329","0.59","0.395568182","0.88","0.63","0.417789474","0.95","0.63","0.417789474","0.95"
"Erkkola","2012","DIPP ","prospective cohort","prospective","meat","meat","","MATERNAL MEAT INTAKE","mother-pregnancy-intake","119.2-197.7","197.7-764.7","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","1.22","0.97","1.55","","","OR","1.23","0.96","1.58","","OR","0.198850859","0.122144935","0.207014169","0.12776055","0.207014169","0.12776055","1.22","0.960258065","1.55","1.23","0.957531646","1.58","1.23","0.957531646","1.58","OR","0.198850859","0.122144935","0.207014169","0.12776055","0.207014169","0.12776055","1.22","0.960258065","1.55","1.23","0.957531646","1.58","1.23","0.957531646","1.58"
"Miyake","2009","OMCHS","prospective cohort","prospective","meat","meat","","MATERNAL MEAT INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.73","0.46","1.16","","","OR","0.77","0.47","1.27","","OR","-0.314710745","0.236291199","-0.261364764","0.255296768","-0.261364764","0.255296768","0.73","0.459396552","1.16","0.77","0.466850394","1.27","0.77","0.466850394","1.27","OR","-0.314710745","0.236291199","-0.261364764","0.255296768","-0.261364764","0.255296768","0.73","0.459396552","1.16","0.77","0.466850394","1.27","0.77","0.466850394","1.27"
"Erkkola","2012","DIPP ","prospective cohort","prospective","fermented milk products","fermented milk products","FERMENTED MILK","MATERNAL PROBIOTIC","mother-pregnancy-intake","100.0-309.6","309.6-3326.8","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","0.82","0.66","1.03","","","OR","0.81","0.64","1.03","","OR","-0.198450939","0.1163315","-0.210721031","0.122591752","-0.210721031","0.122591752","0.82","0.652815534","1.03","0.81","0.636990291","1.03","0.81","0.636990291","1.03","OR","-0.198450939","0.1163315","-0.210721031","0.122591752","-0.210721031","0.122591752","0.82","0.652815534","1.03","0.81","0.636990291","1.03","0.81","0.636990291","1.03"
"Miyake","2010","OMCHS","prospective cohort","prospective","yoghurt","yoghurt","PROBIOTIC","MATERNAL PROBIOTIC","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.03","0.62","1.69","","","OR","1.26","0.74","2.16","","OR","0.029558802","0.252637616","0.231111721","0.274998215","0.231111721","0.274998215","1.03","0.627751479","1.69","1.26","0.735","2.16","1.26","0.735","2.16","OR","0.029558802","0.252637616","0.231111721","0.274998215","0.231111721","0.274998215","1.03","0.627751479","1.69","1.26","0.735","2.16","1.26","0.735","2.16"
"Erkkola","2012","DIPP ","prospective cohort","prospective","total vegetables ","vegetables","ANY VEGETABLE","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","149.1-315.1 g/d","315.1-2532.2","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","1.12","0.88","1.42","","joint p value = 0.035","OR","1.14","0.9","1.45","","OR","0.113328685","0.121085809","0.131028262","0.122722089","0.131028262","0.122722089","1.12","0.883380282","1.42","1.14","0.896275862","1.45","1.14","0.896275862","1.45","OR","0.113328685","0.121085809","0.131028262","0.122722089","0.131028262","0.122722089","1.12","0.883380282","1.42","1.14","0.896275862","1.45","1.14","0.896275862","1.45"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of vegetables","vegetables","ANY VEGETABLE","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.74","0.45","1.19","","","OR","0.69","0.41","1.15","","OR","-0.301105093","0.242376735","-0.371063681","0.260625318","-0.371063681","0.260625318","0.74","0.460168067","1.19","0.69","0.414","1.15","0.69","0.414","1.15","OR","-0.301105093","0.242376735","-0.371063681","0.260625318","-0.371063681","0.260625318","0.74","0.460168067","1.19","0.69","0.414","1.15","0.69","0.414","1.15"
"Willers","2008","PIAMA","prospectvie cohort","prospective","Vegetable consumption during pregnancy","vegetables","ANY VEGETABLE","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","Less than once a day","Daily consumption during pregnancy","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ","","8","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","0.97","0.85","1.12","","","OR","0.97","0.83","1.12","","OR","-0.030459207","0.07336117","-0.030459207","0.07336117","-0.030459207","0.07336117","0.97","0.840089286","1.12","0.97","0.840089286","1.12","0.97","0.840089286","1.12","OR","-0.030459207","0.07336117","-0.030459207","0.07336117","-0.030459207","0.07336117","0.97","0.840089286","1.12","0.97","0.840089286","1.12","0.97","0.840089286","1.12"
"Maslova","2012","DANISH BIRTH COHORT ","prospective cohort","prospective","PEANUT AND PISTACHIO intake during pregnancy","peanut and pistachio","NUTS","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","0","2TO3","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ","","1.5","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.95","0.89","1.01","","","OR","0.99","0.92","1.06","","OR","-0.051293294","0.031246748","-0.010050336","0.034856757","-0.010050336","0.034856757","0.95","0.893564356","1.01","0.99","0.924622642","1.06","0.99","0.924622642","1.06","OR","-0.051293294","0.031246748","-0.010050336","0.034856757","-0.010050336","0.034856757","0.95","0.893564356","1.01","0.99","0.924622642","1.06","0.99","0.924622642","1.06"
"Kull","2006","BAMSE","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","<=1 time/mo","> =2-3 time/mo","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","4","0to4","low-normal","Low","Low","Low","Low","","","","","","2883","178","712","69","","","","","","","OR","0.68","0.51","0.92","","OR","-0.489035421","0.148444019","-0.385662481","0.154224935","-0.385662481","0.154224935","0.613217606","0.458412567","0.820300007","0.68","0.502608696","0.92","0.68","0.502608696","0.92","OR","-0.489035421","0.148444019","-0.385662481","0.154224935","-0.385662481","0.154224935","0.613217606","0.458412567","0.820300007","0.68","0.502608696","0.92","0.68","0.502608696","0.92"
"Magnussonm","2013","BAMSE ","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","<=1 time/mo","> =2-3 time/mo","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","12","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","0.85","0.61","1.19","","OR","","","-0.162518929","0.171669508","-0.162518929","0.171669508","","","","0.85","0.607142857","1.19","0.85","0.607142857","1.19","OR","","","-0.162518929","0.171669508","-0.162518929","0.171669508","","","","0.85","0.607142857","1.19","0.85","0.607142857","1.19"
